"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Max. Mass [Da]"
"-142"	"1"	"68"	"F1"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_1.raw"	"5/21/2022 11:02:52 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4253.29785"
"-142"	"1"	"69"	"F2"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_2.raw"	"5/22/2022 4:02:39 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4040.61719"
"-142"	"1"	"70"	"F3"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_3.raw"	"5/22/2022 5:31:20 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4233.05762"
"-142"	"1"	"71"	"F4"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_4.raw"	"5/22/2022 7:00:03 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"3789.66406"
"-142"	"1"	"72"	"F5"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_5.raw"	"5/22/2022 8:28:46 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4202.63623"
"-142"	"1"	"73"	"F6"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_6.raw"	"5/22/2022 9:57:29 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4116.96143"
"-142"	"1"	"74"	"F7"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_7.raw"	"5/22/2022 11:26:13 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4097.65479"
"-142"	"1"	"75"	"F8"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ng_8.raw"	"5/22/2022 12:54:56 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"3788.63892"
"-142"	"1"	"76"	"F9"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ngK5_1.raw"	"5/24/2022 10:06:56 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4299.48779"
"-142"	"1"	"77"	"F10"	"E:\Thy\DDA_vs_12mz_Hela_K562_30m_15m\15m\Ex_AuLC1_15m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_12mz_02ngK5_2.raw"	"5/24/2022 11:51:01 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.0-4.0.262.18-SP1/4.0.309.28"	"F44"	"4103.70166"
