Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA20_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA10_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
A0A024RBG1	A0A024RBG1		NUDT4B							7391.6																						
A0A0B4J2D5	A0A0B4J2D5		GATD3B		260467	276647	289242	252953	259163	245543	243625	232741	272390	266562	281766	315762	257885	274413	282400	232488	246793	253538	253551	270241	258000	248721	255832	246460	232449	237701		
A0AV96	A0AV96		RBM47		23062.6					27935.4																						
A0AVT1	A0AVT1		UBA6		417922	351136	623127	368576		610662		389094	518478		641716	328054		417542	391621	483232	479861	483837	493443	367292	529755	583060	271418	394887	408138	376746		
A0FGR8	A0FGR8		ESYT2		264290	909149	957304	783647	879170	159395	942492	975337	1.147e+06	889795	936756	850163	649410	712797	890201	733077	731366	736371	705603	859654	597808	913642	914232	768554	671923	783364		
A0MZ66	A0MZ66		SHTN1		115834		109450	91419.2	71964.4	102681			95777.5	145897	74377.4	104491	117904	100177	126110	134180	136717	132403	114390	141200	151311	121537	109743	148608	111514	142475		
A1L0T0	A1L0T0		ILVBL		72923.3					75787.4															280812		933761					
A5YKK6	A5YKK6		CNOT1		38522.5	49899.9		62092	51887.8	29585.1	55209.9	88649.6	59529.6	110881		72254.1	86407.6	128753		55356.6		46293	51199.3	58628.5	51949.9	60708.7	81371.3	79165.8	104964			
A6NDG6	A6NDG6		PGP		282749	429133	403842	465186	466357	246874	415286	431361	442592	395941	497950	438268	436290	419913	452636	452545	456187	450795	446185	440232	482270	508249	450718	441050	447280	466526		
A6NHQ2	A6NHQ2		FBLL1		674018	777020	737585	714209	727593	654830	858395	832214	867912	740218	872611	761023	739031	680448	934879	924387	974613	877977	908243	982643	962681	947994	919857	932696	944928	980205		
A6NHR9	A6NHR9		SMCHD1		35750.5					35798.8																				38285		
A6NHT5	A6NHT5		HMX3		412232					303568								897365														
A6NNZ2	A6NNZ2		TUBB8B		1.57661e+06					814577																						
A8MWD9	A8MWD9		SNRPGP15		246450	367234	381499	325870	331628	238582	237997	273479	286451	368485	312160	480580	408562	488766	363502	318200	445022	431610	415604	304487	352005	298147	251605	269890	421304	258432		
A9QM74	A9QM74		KPNA7		27841.5					50963.6																						
B0I1T2	B0I1T2		MYO1G		459360	756517	664943	800790	811974	439197	859824	707477	819743	769642	800253	936336	789790	853870	791054	762117	763680	789079	691879	745454	783534	754413	725094	891989	870779	878704		
B5ME19	B5ME19		EIF3CL		537778	607824	556050	600085	585246	507233	581077	590463	596287	655180	589346	682742	633810	625225	538300	552238	513820	524760	540936	519544	547821	543919	566975	571651	553574	542296		
E9PAV3	E9PAV3		NACA		570124	496385	499409	441595	411086	532546	563700	571799	508396	669604	542638	674149	658455	623818	595600	638872	555414	539731	544866	615695	460067	606914	669221	599351	621040	653057		
E9PRG8	E9PRG8		C11orf98		115453	117825	128629	142188	106452	103481	127574	108493	142759	123304	134331	126688	124645	135365	117040	122259	108750	97860.4	118513	129312	106348	128082	143260	110059	118691	101814		
O00115	O00115		DNASE2		269818			1.7872e+06		252800		1.77838e+06				1.18133e+06	1.26113e+06		845764	1.01432e+06			967340	1.05689e+06	1.08092e+06		1.10862e+06	1.18086e+06		1.18273e+06		
O00116	O00116		AGPS		131705	209907	219923	225036	191393	148375	123433	157629	171633	104367	330821	133040	124927	156408	107766	144751	149830	165137	126295	114586	166067	98404.6	133901	132586	122894	107680		
O00139	O00139		KIF2A		62046.6	75137.7	103437	91662.1	107228	54584.8	141064	133416	120216	48788.8	146951	118645	83147.6	107252	57278.1	99852.8	46672.6		65555.3	51499.9	72359.8	126476	108841	80710.4	113105	59615.8		
O00148	O00148		DDX39A		1.81092e+06	2.03599e+06	1.88664e+06	1.9792e+06	1.98774e+06	1.8575e+06	1.92258e+06	2.0211e+06	1.97624e+06	2.04954e+06	2.01407e+06	2.0531e+06	2.0097e+06	1.94781e+06	1.93e+06	1.91693e+06	1.92867e+06	1.8847e+06	1.92754e+06	1.91371e+06	1.92111e+06	1.85637e+06	2.20026e+06	2.13476e+06	2.05237e+06	2.08747e+06		
O00151	O00151		PDLIM1		49655.6	129745				50744						72336.2						62535.9	57362.5		84543.6							
O00154	O00154		ACOT7		348377	430400	365658	369161	480038	385085	243786	268014	324524	336374	397645	362007	338157	436413	333539	372018	358060	388598	392933	283052	390247	263542	247824	359271	462944	366816		
O00159	O00159		MYO1C		201774	377405	525641	416790	400850	186255	380765	453473	395299	295420	370280	260292	303694	295864	435175	395890	367211	457790	436759	383737	428895	446501	260684	244830	242174	234464		
O00161	O00161		SNAP23		196108		1.86723e+06			154181										1.47199e+06												
O00170	O00170		AIP		108967	245324	204920	210943	238140	116131	216653	217179	236581	268740	228171	237373	249391	215433	147693	144024	171237	172152	152807	161785	158243	155851	218112	225306	214155	229256		
O00178	O00178		GTPBP1		15814.6					15002.8																						
O00186	O00186		STXBP3		73108.9		75115.2			58039.9	105720			85334.8		52629.2	70757.5	97335.9	95840.4		40314.8		49687.6		87954.6		74251.7	65624.7	72517.9	82421.4		
