Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
A0A0B4J2D5	A0A0B4J2D5		GATD3B		39115.4	39027	37459.8	41779.8	40535.6	27149.4	40187.6	32590.5	39074.9	31420.3	37840.1	33213.1	31778.9	34490.9	34704.1	34193.3
A0AVT1	A0AVT1		UBA6		52641.6	53502.9	52246.8	53740.9	51862.5	19972.8	50834.1	16602.5	51893.3	18494.8	54327.3	17231.2	20703.1	19472.2	20726.9	22587.5
A5YKK6	A5YKK6		CNOT1		25050	24887.6	25453.1	26569.9	25699.7	18665.2	22942.1	13056.7	22474.9	14316.7	21754.3	8146.83		9427.2	13848.1	
A6NCN2	A6NCN2		KRT87P		27110.8	22099.1	25514.9	21384.9	21722.9	26591.1	22347.2	19841.2	22862.9	23938.9	26092.2	25211.6	22541.1	21971.9	21101.4	23440.2
A6NDG6	A6NDG6		PGP		68136.4	68679.4	67364.7	64799.3	68064.2	71263.7	60081.9	68308.1	61685.9	65775.4	70033.9	61838.1	65454.6	73421.5	63209.9	74979
A6NHG4	A6NHG4		DDTL		32887.2	41053.7	28705.5	31650.4	38399.8	152440	31365.8	149142	38110.9	159391	32989.3	152588	150963	161722	146993	155507
A6NHQ2	A6NHQ2		FBLL1		245282	234706	224673	245777	250919	192793	260871	209709	262919	218789	261087	212897	229405	204390	211839	215683
A6NHR9	A6NHR9		SMCHD1		156099	131847	141087	146024	139141	75586.2	149294	81139	147108	78268.7	138659	86252.6	78221.1	70916.2	77799.9	91925.4
A6NKT7	A6NKT7		RGPD3		89714.1	87105.2	63600.5	93456.4	68869.5	100993	87699	106057	87588.5	111605	84972.5	111367	115542	107542	74554.2	109659
A6NNZ2	A6NNZ2		TUBB8B		44932.7	35308.9	40449.6	44860.7	42316.9		56237.9		47989.5		44114.8					
A8MWD9	A8MWD9		SNRPGP15		332983	317414	325491	319621	309449	163070	293954	173535	290919	193319	330531	191926	202607	192371	175249	196704
A9QM74	A9QM74		KPNA7		7062.6		20550.5				8086.14		3331.4		15912.1			2216.97		
B0I1T2	B0I1T2		MYO1G							58289		56371		56684.5		53974.8	71544.4	65383.6	66398.2	63610
B5ME19	B5ME19		EIF3CL		131982	140376	134206	137596	139165	97717.4	131587	102027	133142	99895.3	140590	95445.6	105505	96473.3	104786	99463.3
E9PAV3	E9PAV3		NACA		270982	281879	281076	266524	285139	218188	269350	190025	301092	211632	265728	194890	216597	200334	189624	196195
E9PRG8	E9PRG8		C11orf98		54736.1	47176.4	51334.4	55600	50026.9	44871.8	42203.8	47661.4	50980	47646.8	50864.7	51019.7	41506.4	43145.6	40941.1	43081.9
O00116	O00116		AGPS		41165.8	27138.3	50023.4	29122.6	34873.1	26087.7	42197.9	31250.1	43819.9	17849.4	38502.8	21778.2	42483.6	45050.9	41004.6	41714.6
O00139	O00139		KIF2A		21645.4	18503.8	18282.8	21819.5	22709.8	11649.8	21472.2	7924.46	20275.5	11127.5	19925.8	11944.9	9287.97	10275.9	13721.7	8341.28
O00148	O00148		DDX39A		95264.9	93654.2	99466.6	93038.7	101871	61641.8	96722.7	55070.5	94206.1	61129.3	87659.2	56933.6	56430	62053.5	63106.3	62836.8
O00151	O00151		PDLIM1		127690	126954	137612	121335	124132	19999.6	130861	20983	129443	24186.4	126764	20027.1	22260.1	28068.1	23582.8	22609.9
O00154	O00154		ACOT7		69311.6	66396.5	58997.9	69981.1	68428.4	54541.1	55699.7	58559.5	55023.4	58577.1	57116.3	57554.1	52643.6	48602.1	56085.1	53908.3
O00159	O00159		MYO1C				36830.6			67155.4	20088	63166.3		65122.5		62129.1	64094.3	65657.7	71120.7	67927.8
O00161	O00161		SNAP23		26590.4	31489.1	24812	28464.7	29753		23635	6056.56	24619	5756.24	23942.3	6527.54	11849.7			8329.47
O00170	O00170		AIP		38991.5	44023.3	39831.9	38647.1	36712.5	44362.3	34608.6	47118.2	29259.5	40721.1	28689.8	49008.6	45164.3	42537.9	40854.9	49350.3
O00231	O00231		PSMD11		228467	234964	235936	231811	225880	152178	225661	141839	220255	151544	223523	141057	145493	153051	149374	139340
O00232	O00232		PSMD12		43711.9	40959.1	76810.6	47655.9	29040.9	27505.5	71787.6	19702	73623	27243.3	71835.2	31224.4	36205.1	31927.7	45504.1	44272
O00233	O00233		PSMD9		46803.2	49827.8	46721.4	50839.4	49781	43467.5	46176.6	44431.4	50028.9	49714.6	45933.2	44635.2	42344.4	41635.8	40795.3	44870
O00244	O00244		ATOX1		50797.7	48606.2	49193.6	53233.2	47606.3	36819.5	49803.8	41873.9	49430.8	40436.5	56499.1	37755.9	41267.2	38289.5	36687.7	39031.8
O00264	O00264		PGRMC1		16772.7	17863	19052.9	18179.6	15424.8	129990	18432.3	125459	15463.5	126048	16940.2	139600	130220	128618	143834	128773
O00267	O00267		SUPT5H		49239.1	49559.2	50782.7	50308.9	51482.3	31188.6	49221.6	31621.5	53653.3	32360	46888.2	34061.9	34985.6	34420.9	38098.2	31789
O00273	O00273		DFFA		20738.1	16407.9	17118	16458.6	17456.7	12667.6	18656.2	12248.7	16848.9	13440.4	21268.9	10093.3	8641.53	10967.1	8083.91	13522.3
O00299	O00299		CLIC1		1.5558e+06	1.47738e+06	1.47198e+06	1.45689e+06	1.38923e+06	402269	1.4588e+06	394376	1.39088e+06	388884	1.37844e+06	371207	376177	352003	390481	386160
O00303	O00303		EIF3F		125955	121207	147323	115525	119629	89488.8	131414	99476	127389	108396	134244	106496	98420.8	106786	99305.1	107150
