,Names,ID_Type,ID_Mode,Conditions,IDs
0,A0,protein,MS2_IDs,1.RAW,1494
1,A0,protein,MBR_IDs,1.RAW,2404
2,A0,protein,Total_IDs,1.RAW,3898
3,A1,protein,MS2_IDs,1.RAW,1487
4,A1,protein,MBR_IDs,1.RAW,2478
5,A1,protein,Total_IDs,1.RAW,3965
6,A2,protein,MS2_IDs,1.RAW,1504
7,A2,protein,MBR_IDs,1.RAW,2344
8,A2,protein,Total_IDs,1.RAW,3848
9,A3,protein,MS2_IDs,1.RAW,3074
10,A3,protein,MBR_IDs,1.RAW,1851
11,A3,protein,Total_IDs,1.RAW,4925
12,A4,protein,MS2_IDs,1.RAW,3455
13,A4,protein,MBR_IDs,1.RAW,1471
14,A4,protein,Total_IDs,1.RAW,4926
15,A5,protein,MS2_IDs,1.RAW,3639
16,A5,protein,MBR_IDs,1.RAW,1388
17,A5,protein,Total_IDs,1.RAW,5027
18,A0,peptide,MS2_IDs,1.RAW,6594
19,A0,peptide,MBR_IDs,1.RAW,14478
20,A0,peptide,Total_IDs,1.RAW,21072
21,A1,peptide,MS2_IDs,1.RAW,6133
22,A1,peptide,MBR_IDs,1.RAW,14905
23,A1,peptide,Total_IDs,1.RAW,21038
24,A2,peptide,MS2_IDs,1.RAW,6391
25,A2,peptide,MBR_IDs,1.RAW,13888
26,A2,peptide,Total_IDs,1.RAW,20279
27,A3,peptide,MS2_IDs,1.RAW,16719
28,A3,peptide,MBR_IDs,1.RAW,20298
29,A3,peptide,Total_IDs,1.RAW,37017
30,A4,peptide,MS2_IDs,1.RAW,19331
31,A4,peptide,MBR_IDs,1.RAW,16979
32,A4,peptide,Total_IDs,1.RAW,36310
33,A5,peptide,MS2_IDs,1.RAW,21839
34,A5,peptide,MBR_IDs,1.RAW,17329
35,A5,peptide,Total_IDs,1.RAW,39168
36,A9,protein,MS2_IDs,2.MICROGLIA,281
37,A9,protein,MBR_IDs,2.MICROGLIA,2563
38,A9,protein,Total_IDs,2.MICROGLIA,2844
39,A10,protein,MS2_IDs,2.MICROGLIA,238
40,A10,protein,MBR_IDs,2.MICROGLIA,1949
41,A10,protein,Total_IDs,2.MICROGLIA,2187
42,A11,protein,MS2_IDs,2.MICROGLIA,266
43,A11,protein,MBR_IDs,2.MICROGLIA,2475
44,A11,protein,Total_IDs,2.MICROGLIA,2741
45,A9,peptide,MS2_IDs,2.MICROGLIA,928
46,A9,peptide,MBR_IDs,2.MICROGLIA,8770
47,A9,peptide,Total_IDs,2.MICROGLIA,9698
48,A10,peptide,MS2_IDs,2.MICROGLIA,699
49,A10,peptide,MBR_IDs,2.MICROGLIA,6281
50,A10,peptide,Total_IDs,2.MICROGLIA,6980
51,A11,peptide,MS2_IDs,2.MICROGLIA,712
52,A11,peptide,MBR_IDs,2.MICROGLIA,6913
53,A11,peptide,Total_IDs,2.MICROGLIA,7625
