"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Max. Mass [Da]"
"-1252"	"1"	"664"	"F27"	"Y:\2023\3\multiple myeloma\LL1075_72_V_chip1_D10_chan2.raw"	"3/16/2023 4:21:09 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4917.28613"
"-1252"	"1"	"663"	"F26"	"Y:\2023\3\multiple myeloma\LL1075_72_V_chip1_C9_chan2.raw"	"3/15/2023 11:59:24 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5638.71582"
"-1252"	"1"	"662"	"F25"	"Y:\2023\3\multiple myeloma\LL1075_72_V_chip1_B10_chan1.raw"	"3/16/2023 4:19:52 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4730.66943"
"-1252"	"1"	"661"	"F24"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_D8_chan2.raw"	"3/16/2023 8:42:11 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4918.31152"
"-1252"	"1"	"660"	"F23"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_C8_chan2.raw"	"3/16/2023 7:35:36 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4932.57129"
"-1252"	"1"	"659"	"F22"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_C5_chan2.raw"	"3/16/2023 9:46:35 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4950.94092"
"-1252"	"1"	"658"	"F21"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_B7_chan2.raw"	"3/16/2023 11:57:05 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5524.15674"
"-1252"	"1"	"657"	"F20"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_B4_chan1.raw"	"3/16/2023 6:30:21 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4849.54492"
"-1252"	"1"	"656"	"F19"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_B2_chan1.raw"	"3/16/2023 1:05:23 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5651.76172"
"-1252"	"1"	"655"	"F18"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_A7_chan2.raw"	"3/16/2023 10:52:41 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4744.68213"
"-1252"	"1"	"654"	"F17"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_A5_chan1.raw"	"3/16/2023 7:36:56 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5651.77686"
"-1252"	"1"	"653"	"F16"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_A3_chan2.raw"	"3/16/2023 5:25:07 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4917.29199"
"-1252"	"1"	"652"	"F15"	"Y:\2023\3\multiple myeloma\LL1075_72_T_chip1_A1_chan2.raw"	"3/16/2023 3:14:35 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5986.84619"
"-1252"	"1"	"651"	"F14"	"Y:\2023\3\multiple myeloma\LL1075_72_RB_chip1_D11_chan1.raw"	"3/16/2023 9:47:25 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4950.95020"
"-1252"	"1"	"650"	"F13"	"Y:\2023\3\multiple myeloma\LL1075_24_V_chip1_D10_chan2.raw"	"3/16/2023 2:10:38 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4949.91748"
"-1252"	"1"	"649"	"F12"	"Y:\2023\3\multiple myeloma\LL1075_24_V_chip1_C10_chan2.raw"	"3/16/2023 6:31:39 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5986.83887"
"-1252"	"1"	"648"	"F11"	"Y:\2023\3\multiple myeloma\LL1075_24_V_chip1_B10_chan1.raw"	"3/16/2023 11:57:59 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"5651.77637"
"-1252"	"1"	"647"	"F10"	"Y:\2023\3\multiple myeloma\LL1075_24_T_chip1_D7_chan1.raw"	"3/15/2023 10:22:08 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4905.25488"
"-1252"	"1"	"646"	"F9"	"Y:\2023\3\multiple myeloma\LL1075_24_T_chip1_D6_chan1.raw"	"3/17/2023 1:02:19 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F122"	"4931.54883"
