"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Max. Mass [Da]"
"-108"	"1"	"761"	"F73"	"Y:\2023\3\multiple myeloma\QC_10ng22ms_WWA_chan2_3.raw"	"3/17/2023 5:30:47 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	""	"6037.59912"
"-108"	"1"	"762"	"F74"	"Y:\2023\3\multiple myeloma\QC_10ng22ms_WWA_chan1_3.raw"	"3/17/2023 4:25:32 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5999.67725"
"-108"	"1"	"763"	"F75"	"Y:\2023\3\multiple myeloma\QC_10ng22ms_WWA_chan2_2.raw"	"3/17/2023 3:20:17 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5999.65527"
"-108"	"1"	"764"	"F76"	"Y:\2023\3\multiple myeloma\QC_10ng22ms_WWA_chan1_2.raw"	"3/17/2023 2:14:46 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5650.82178"
"-108"	"1"	"765"	"F77"	"Y:\2023\3\multiple myeloma\QC_10ng22ms_WWA_chan2.raw"	"3/17/2023 1:09:17 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5753.94385"
"-108"	"1"	"766"	"F78"	"Y:\2023\3\multiple myeloma\QC_10ng22ms_WWA_chan1.raw"	"3/17/2023 12:04:00 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5753.93799"
"-108"	"1"	"1218"	"F79"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_RB_DDM1_B11_chan2.raw"	"4/16/2023 4:55:17 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84424"
"-108"	"1"	"1219"	"F80"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_D1_chan1.raw"	"4/16/2023 3:49:29 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4898.91602"
"-108"	"1"	"1220"	"F81"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_C9_chan2.raw"	"4/16/2023 2:43:47 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84473"
"-108"	"1"	"1221"	"F82"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_B6_chan1.raw"	"4/16/2023 1:37:55 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5587.51416"
"-108"	"1"	"1222"	"F83"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_A7_chan2.raw"	"4/16/2023 12:32:07 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84033"
"-108"	"1"	"1223"	"F84"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_A2_chan1.raw"	"4/16/2023 11:26:24 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4899.95020"
"-108"	"1"	"1224"	"F85"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_C10_chan2.raw"	"4/16/2023 10:20:49 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.83740"
"-108"	"1"	"1225"	"F86"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_B7_chan1.raw"	"4/16/2023 9:14:57 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84229"
"-108"	"1"	"1226"	"F87"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_B8_chan2.raw"	"4/16/2023 8:09:15 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84033"
"-108"	"1"	"1227"	"F88"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_C3_chan1.raw"	"4/16/2023 7:03:26 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4897.87695"
"-108"	"1"	"1228"	"F89"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_B3_chan2.raw"	"4/16/2023 5:57:40 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84131"
"-108"	"1"	"1229"	"F90"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_A9_chan1.raw"	"4/16/2023 4:51:58 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4899.94141"
"-108"	"1"	"1230"	"F91"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_D3_chan2.raw"	"4/16/2023 3:46:11 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4899.94971"
"-108"	"1"	"1231"	"F92"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_B2_chan1.raw"	"4/16/2023 2:40:27 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4899.93994"
"-108"	"1"	"1232"	"F93"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_D9_chan2.raw"	"4/16/2023 1:34:51 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4899.93750"
"-108"	"1"	"1233"	"F94"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_C7_chan1.raw"	"4/16/2023 12:29:03 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4899.93848"
"-108"	"1"	"1234"	"F95"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_A10_chan2.raw"	"4/15/2023 11:23:12 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4900.96533"
"-108"	"1"	"1235"	"F96"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_C6_chan1.raw"	"4/15/2023 10:17:25 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4898.92041"
"-108"	"1"	"1236"	"F97"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_B9_chan2.raw"	"4/15/2023 9:11:36 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5651.77832"
"-108"	"1"	"1237"	"F98"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_D2_chan1.raw"	"4/15/2023 8:05:50 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4447.83203"
"-108"	"1"	"1238"	"F99"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_D6_chan2.raw"	"4/15/2023 7:00:02 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84131"
"-108"	"1"	"1239"	"F100"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_B10_chan1.raw"	"4/15/2023 5:54:17 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84082"
"-108"	"1"	"1240"	"F101"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_RB_DDM1_D11_chan2.raw"	"4/15/2023 4:48:26 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4898.91650"
"-108"	"1"	"1241"	"F102"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_T_DDM1_C5_chan1.raw"	"4/15/2023 3:42:40 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"4448.82861"
"-108"	"1"	"1242"	"F103"	"Y:\2023\4\multiple myeloma_Round_2\LL1097_6hr_V_DDM1_C8_chan2.raw"	"4/15/2023 2:37:03 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F73"	"5884.84131"
