"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Max. Mass [Da]"
"-177"	"1"	"1589"	"F1"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_02ngRAW_2uL_chan_1_GE9.raw"	"6/19/2023 6:08:59 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5385.89697"
"-177"	"1"	"1590"	"F2"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_02ngRAW_2uL_chan_2_GC9.raw"	"6/20/2023 12:41:28 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6322.07959"
"-177"	"1"	"1591"	"F3"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_02ngRAW_2uL_chan_2_GD9.raw"	"6/18/2023 11:36:13 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5325.56055"
"-177"	"1"	"1592"	"F4"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_2ngRAW_2uL_chan_1_GD10.raw"	"6/20/2023 1:55:37 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6283.34570"
"-177"	"1"	"1593"	"F5"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_2ngRAW_2uL_chan_1_GE10.raw"	"6/19/2023 12:50:24 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"4941.98340"
"-177"	"1"	"1594"	"F6"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_2ngRAW_2uL_chan_2_GC10.raw"	"6/19/2023 7:23:07 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5385.90479"
"-177"	"1"	"1595"	"F7"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_10ngRAW_2uL_chan_1_GC11.raw"	"6/19/2023 8:37:17 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5720.43164"
"-177"	"1"	"1596"	"F8"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_10ngRAW_2uL_chan_2_GD11.raw"	"6/20/2023 3:09:46 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5720.42285"
"-177"	"1"	"1597"	"F9"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_10ngRAW_2uL_chan_2_GE11.raw"	"6/19/2023 2:04:35 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5721.45117"
"-177"	"1"	"1598"	"F10"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_50cpw_25uL_chan_1_GC3.raw"	"6/19/2023 8:15:29 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"4939.93604"
"-177"	"1"	"1599"	"F11"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_50cpw_25uL_chan_1_GE3.raw"	"6/20/2023 9:20:29 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6157.99854"
"-177"	"1"	"1600"	"F12"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_50cpw_25uL_chan_2_GD3.raw"	"6/20/2023 2:48:08 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6167.50586"
"-177"	"1"	"1601"	"F13"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_100cpw_25uL_chan_1_GC4.raw"	"6/20/2023 4:02:22 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6303.71826"
"-177"	"1"	"1602"	"F14"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_100cpw_25uL_chan_2_GD4.raw"	"6/20/2023 10:34:42 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6161.59375"
"-177"	"1"	"1603"	"F15"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_100cpw_25uL_chan_2_GE4.raw"	"6/19/2023 9:29:44 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6333.31934"
"-177"	"1"	"1604"	"F16"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_100ngRAW_2uL_chan_1_GC12.raw"	"6/20/2023 4:23:55 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6209.10938"
"-177"	"1"	"1605"	"F17"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_100ngRAW_2uL_chan_1_GD12.raw"	"6/19/2023 3:18:46 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6207.08105"
"-177"	"1"	"1606"	"F18"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_100ngRAW_2uL_chan_2_GE12.raw"	"6/19/2023 9:51:27 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	""	"6205.02148"
"-177"	"1"	"1607"	"F19"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_200cpw_25uL_chan_1_GC5.raw"	"6/19/2023 10:43:59 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6296.59961"
"-177"	"1"	"1608"	"F20"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_200cpw_25uL_chan_1_GD5.raw"	"6/20/2023 11:48:53 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5920.69385"
"-177"	"1"	"1609"	"F21"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_200cpw_25uL_chan_2_GE5.raw"	"6/20/2023 5:16:35 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6372.12158"
"-177"	"1"	"1610"	"F22"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_500cpw_5uL_chan_1_GC6.raw"	"6/20/2023 6:30:43 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6445.92725"
"-177"	"1"	"1611"	"F23"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_500cpw_5uL_chan_2_GD6.raw"	"6/19/2023 11:58:08 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6437.26074"
"-177"	"1"	"1612"	"F24"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_1000cpw_5uL_chan_1_GD7.raw"	"6/19/2023 1:12:17 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6407.50391"
"-177"	"1"	"1613"	"F25"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_1000cpw_5uL_chan_2_GC7.raw"	"6/21/2023 1:02:59 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6401.36914"
"-177"	"1"	"1614"	"F26"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_1000cpw_5uL_chan_2_GE7.raw"	"6/20/2023 7:44:53 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6400.34424"
"-177"	"1"	"1615"	"F27"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_SB_2uL_chan_1_GK5.raw"	"6/20/2023 1:33:53 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6299.12695"
"-177"	"1"	"1616"	"F28"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_SB_2uL_chan_2_GK3.raw"	"6/20/2023 8:06:16 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"6351.08154"
"-177"	"1"	"1617"	"F29"	"Y:\2023\6\LL1110_ZCmic\LL1110_Zcmic_SB_2uL_chan_2_GK4.raw"	"6/19/2023 7:01:14 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F18"	"5702.23291"
