"File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Max. Mass [Da]"
""	"E:\Thy\WWA AP\WWA AP\SingleCell_30m_MBR_CTR.msf"	"12/19/2022 12:00:43 PM"	""	""	"Created with Discoverer version: 3.0.0.757"	""	"0.00000"
"F1"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c3.raw"	"12/9/2022 7:59:26 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5652.79639"
"F2"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r3c4.raw"	"12/9/2022 5:18:10 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76660"
"F3"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r3c2.raw"	"12/8/2022 11:55:33 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.77393"
"F4"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c5.raw"	"12/8/2022 9:14:17 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5882.79346"
"F5"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c7.raw"	"12/8/2022 6:33:00 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.77588"
"F6"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c8.raw"	"12/8/2022 3:51:44 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76758"
"F7"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r3c6.raw"	"12/8/2022 1:10:25 PM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76465"
"F8"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c6.raw"	"12/8/2022 7:47:50 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.77686"
"F9"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c3.raw"	"12/8/2022 5:06:34 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5650.74219"
"F10"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c4.raw"	"12/8/2022 2:25:18 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.77051"
"F11"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c4.raw"	"12/7/2022 11:43:58 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5652.79004"
"F12"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r3c1.raw"	"12/7/2022 9:02:42 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76367"
"F13"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c4.raw"	"12/7/2022 6:21:25 PM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5884.83789"
"F14"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c8.raw"	"12/7/2022 3:40:07 PM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76514"
"F15"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r3c3.raw"	"12/7/2022 12:58:50 PM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76514"
"F16"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c6.raw"	"12/7/2022 10:17:32 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5650.74951"
"F17"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c2.raw"	"12/7/2022 7:36:17 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5650.74121"
"F18"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c7.raw"	"12/7/2022 4:54:59 AM"	"30.00 - 85.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5651.76514"
"F19"	"Y:\2022\12\App WWA\Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r3c5.raw"	"12/7/2022 2:13:41 AM"	"30.00 - 85.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F44"	"5650.74219"
