"Checked"	"Protein Groups Protein Group ID"	"# Proteins"	"# Unique Peptides"	"# Peptides"	"# PSMs"	"Group Description"	"Found in Sample: F1: Sample"	"Found in Sample: F2: Sample"	"Found in Sample: F3: Sample"	"Found in Sample: F4: Sample"	"Found in Sample: F5: Sample"	"Found in Sample: F6: Sample"	"Found in Sample: F7: Sample"	"Found in Sample: F8: Sample"	"Found in Sample: F9: Sample"	"Found in Sample: F10: Sample"	"Found in Sample: F11: Sample"	"Found in Sample: F12: Sample"	"Found in Sample: F13: Sample"	"Found in Sample: F14: Sample"	"Found in Sample: F15: Sample"	"Found in Sample: F16: Sample"	"Found in Sample: F17: Sample"	"Found in Sample: F18: Sample"	"Found in Sample: F19: Sample"	"Found in Sample: F20: Sample"	"Found in Sample: F41: Sample"	"Found in Sample: F42: Sample"	"Found in Sample: F43: Sample"	"Found in Sample: F44: Sample"
"False"	"1952"	"1"	"213"	"220"	"1604"	"[Master Protein] Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"2721"	"2"	"188"	"189"	"2134"	"[Master Protein] Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4998"	"1"	"164"	"164"	"2227"	"[Master Protein] DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"2245"	"1"	"157"	"157"	"1369"	"[Master Protein] Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"2981"	"1"	"111"	"111"	"835"	"[Master Protein] Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"1523"	"1"	"104"	"117"	"2313"	"[Master Protein] Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"622"	"5"	"100"	"100"	"520"	"[Master Protein] E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"
"False"	"5619"	"1"	"98"	"98"	"378"	"[Master Protein] E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"4190"	"1"	"96"	"109"	"1353"	"[Master Protein] Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"False"	"5637"	"2"	"92"	"92"	"470"	"[Master Protein] E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
