Protein Name,1-1,1-2,1-3,1-4,1-5,1-6
GAPDH_1,794200.2303,805001.2022,487519.0819,240246.6314,289174.7272,514352.4439
GAPDH_2,860825.057,133319.323,889986.7508,418455.7188,136022.0232,269610.4636
GAPDH_3,923440.2971,346063.9561,32710.98108,41412.70251,61378.18978,264018.9591
GAPDH_4,659378.3836,254759.3431,446167.7448,765645.0799,143670.3704,632878.6213
GAPDH_5,169753.067,72049.5153,816098.6668,445100.0421,707554.0669,987052.0053
GAPDH_6,214026.8315,312524.0532,247389.4422,243453.7738,672518.8296,358258.1958
GAPDH_7,878324.2786,36504.78594,643424.118,884979.3162,858050.3954,543902.5521
GAPDH_8,818412.9141,135670.4226,286227.4126,618851.3282,146397.6045,841146.2674
GAPDH_9,157052.0279,339805.0572,868991.4924,511278.4013,4084.925446,210340.4943
GAPDH_10,991905.8291,212868.7863,809879.717,429685.9224,387828.8439,500871.7664
GAPDH_11,626241.1212,492133.2228,884086.2454,241786.9265,68099.66375,290220.6881
GAPDH_12,287425.6525,833942.708,895378.6598,,,
GAPDH_13,659059.2956,210482.8065,969668.1426,340497.4238,366661.6561,998933.6397
GAPDH_14,186741.9377,643856.5342,139719.1101,842308.2562,355881.8715,340780.9076
GAPDH_15,98773.55591,,109129.0124,274420.092,857681.1898,316653.2208
GAPDH_16,570298.4034,755148.0142,619776.0284,,,838531.0398
GAPDH_17,991982.693,,221012.0182,828102.5095,653955.2503,175566.2335
GAPDH_18,806820.5318,818005.17,106740.0666,587372.4765,826082.1617,608165.9026
GAPDH_19,579759.6314,213132.7214,867089.1371,132439.9922,803726.1505,706233.3796
GAPDH_20,991546.0673,361967.5776,57144.17131,214534.6774,372356.0453,319795.5322
GAPDH_21,878670.9968,741942.573,947468.0699,887894.8643,803555.0918,973333.8936
ILS,755607.4918,828599.279,464014.2146,858019.8737,952497.7522,891638.0458
