Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_1.raw	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
A0A024RBG1	A0A024RBG1		NUDT4B		41942.6	7587.28	7207.52	32784.7	41022.3		35761.5		44598.4		54454.7				34415					
A0A0B4J2D5	A0A0B4J2D5		GATD3B		411411	390710	366249	399804	510336	505668	475462	516764	527266	390585	504301	436549	499933	396828	494309	433966	434266	423446	460493	429412
A0A0B4J2F0	A0A0B4J2F0		PIGBOS1		49850.6	66383.6	87024.6	57148.2			31149.5						31504.9		32774.5			24730.6		
A0AV96	A0AV96		RBM47		12685.9	62380.2	64029.3	10633.9						51512.4		57390.1						31879.2	42086.2	60577.3
A0AVT1	A0AVT1		UBA6		360152	178199	165401	431707	458838	441532	448010	483413	467078	203722	452863	174077	457920	184386	466003	190272	193233	196436	206013	170009
A0FGR8	A0FGR8		ESYT2		69806.2	127221	127311	66312.9	128361		187770	149620	146290	225146	157708	183212		205868		196987	145106	178478	157034	192106
A0MZ66	A0MZ66		SHTN1		710108	910806	868281	644014	763092	796161	698628	605659	781226	868107	716956	892867	728961	899546	734679	730988	826097	968471	814192	922309
A0PJW6	A0PJW6		TMEM223		31277.8	115570	102437	30512.6						129391		228290					281237	106124		275053
A1L0T0	A1L0T0		ILVBL		103720	56723.1	63716.1	77373.8						70846.8		73389.5		54665.8		80849	42964.4		20433.3	54735.2
A2RRP1	A2RRP1		NBAS		652601	437530	376438	640706	786567	1.05852e+06	1.14894e+06	1.12832e+06	1.00141e+06		1.21779e+06	832555	1.03561e+06		991184					
A3KMH1	A3KMH1		VWA8		41623.1	100390	94990.2	31876.2												59491.3				
A3KN83	A3KN83		SBNO1		97854.7	39540.4	40232.5	66979.7	103846	101105	95126.7	75551.7	99507.5		83245.9		80024.5		76191.1					
A4D1E9	A4D1E9		GTPBP10		167015	151021	128574	144403	205853	229186	255560	272854	239594	154696	253180	110974	252641	168044		143692		203560	146431	130679
A4D1P6	A4D1P6		WDR91		48102.9	23517.4	34964.7	45856.8				33634.1					28858.7							
A5D8V6	A5D8V6		VPS37C		63384.4	54117.9	51710.2	57538.5							15991.4									
A5YKK6	A5YKK6		CNOT1		550286	398696	357106	574144	703428	704083	692930	700111	707884	438310	687325	355259	682426	434673	694219	285154	420084	449643	501497	473672
A6NCE7	A6NCE7		MAP1LC3B2		523033	118081	125488	469324	591574	565621	571994	567307	650401		596181	220856	621559	249933	631226	256517	254289	234004	234433	251272
A6NDG6	A6NDG6		PGP		461072	488510	487398	477745	563359	570872	533391	517622	548496	548021	540736	559512	544731	560945	571426	551241	570857	631095	578099	575798
A6NDU8	A6NDU8		RIMOC1		143706	138171	135875	139174	165733	166160		146142	160423	134574		207024	145426			171405			214264	
A6NED2	A6NED2		RCCD1		15084.2	9001.54	8159.26	16294.8																
A6NFN3	A6NFN3		RBFOX3		54366.4	101989	97437.9	55126.2												71333.3		132748		88278.6
A6NHQ2	A6NHQ2		FBLL1		1.59962e+06	1.03098e+06	1.1007e+06	1.56917e+06	1.63484e+06	1.64675e+06	1.44718e+06	1.56548e+06	1.67653e+06	1.2567e+06	1.66424e+06	1.33558e+06	1.74609e+06	1.30868e+06	1.59551e+06	1.40975e+06	1.29311e+06	1.23579e+06	1.25828e+06	1.15985e+06
A6NHR9	A6NHR9		SMCHD1		513693	261997	255354	511314	635301	585101	590500	604890	606648	227650	594167	299336	615479	377861	549201	333826	312577	371498	186565	432689
A6NIH7	A6NIH7		UNC119B			76877.2	73158.6	8132.32						255531		244852		225417			367432			
A6NIL9	A6NIL9		CRYM-AS1		1452.75			10462.8																
