Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
A6NHG4	A6NHG4		DDTL		171120	173357	170944	169492	170060	173603	168419	186504	167691	181967	178620	164537	155809	145188	147494	146576	155308	167136	165846	163690	160147	151900	161503	175895		
A6NHQ2	A6NHQ2		FBLL1		158112	148754	143062	156646	166396	165222	173145	140349	157634	140152	141809	126509	175877	173186	185306	164556	177170	186706	191316	184918	170644	171561	181526	181375		
A6NHT5	A6NHT5		HMX3									152468		157847	163206	163757							112424							
A6NN73	A6NN73		GOLGA8CP			47913.3																								
A6NNZ2	A6NNZ2		TUBB8B						114662											152584								96621		
A8MWD9	A8MWD9		SNRPGP15		45568.7	34139.9	45655.9	49567.3	10347.8	13542.4	18335.7	31647.6	23049.4	38193.4	41774	50154.6	38415	21498.9	36358	41223.2	27233.3	17157.6	48091.6	20240.3	26007.6	30133.4	43880.4	33916.6		
B2RPK0	B2RPK0		HMGB1P1		151112	160368	136750	135493	144765	151873	162820	151915	139957	132024	150750	139981	164490	154724	147634	150150	142277	166931	149206	160445	178629	160804	149910	159123		
B5ME19	B5ME19		EIF3CL		84021.1	75769	80643.1	76930.6	75972.8	81525.3	83402.7	72888.3	80155.7	82038.7	73498.6	76694.2	74635.8	75949.4	75437.3	75361.5	78789.4	76906.9	76320.5	80715.5	68107	70686.1	67759.4	68241.6		
E9PAV3	E9PAV3		NACA		98568.8	99315.1	87369.7	84486.5	111332	120388	104192	129327	103460	126225	124504	111364	112389	122713	113296	108765	105773	117728	105825	126352	118678	112473	109711	116875		
O00148	O00148		DDX39A		394003	391009	382955	409643	377879	408588	376281	356220	408137	366461	363882	362052	356475	363768	358690	342993	375231	353925	375972	352927	384749	362281	370648	379371		
O00154	O00154		ACOT7		25514.6	18984.5	27120.3	30096.9	6550.57	11128.6	16915.2	14658.9	24500.8	16995.6	19760.9	23762.6	22804.8	21497.7	17713.2	26276.7	24853.5	14510.6	30186.9	18734.9	14824.1	24980.7	20958.3	22742.9		
O00231	O00231		PSMD11		66994.2	60191.4	63306	67951.6	56397.8	57522.8	66590	55873.9	69612.9	49239	63805.2	58526.1	50138.2	51706.5	57979.2	53778.8	54864.5	51608.8	54763.6	54161.8	53914.4	45831.2	44457.9	39935		
O00299	O00299		CLIC1		162510	144329	144584	149545	148233	147128	139890	142700	143617	148725	137280	133688	162064	155845	162841	162023	160481	160384	159467	161275	160944	153677	151156	157806		
O00410	O00410		IPO5		212138	218660	209463	207615	203581	221652	204510	97736.9	209763	133620	119900	143546	135786	147494	150374	142680	142506	132866	158957	133209	109474	125407	126203	115163		
O00425	O00425		IGF2BP3		36492.1	36752.5	33221.3	38455.8	10828	30473.3	34952.5	33205.7	37269.3	29085.3	32458.6	34637.7	34354.1	33426.5	46235.6	41355.3	37331.8	28580.9	35954.4	30870.5	31089	30956.7	36625.8	43058.8		
O00429	O00429		DNM1L		33926.7	28924.7	29260.1	29340.2	30990	30587.7	28469.6	26947.8	25937.1	25174.2	28736.6	27749.6	26799.8	28169.7	27174.1	26870	21710.5	25574	28742.5	25197.5	29467.4	31115.2	32358.6	30627.6		
O00487	O00487		PSMD14		43429	39914.5	41804.4	45829.6	44662.5	41172.1	41085.1	67992.4	41999.5	66604.5	73899.2	68409.9	34086.3	41907.4	37788.1	37983.6	38084.7	39276.2	38194.9	41183.9	43549.9	38666.6	42459.9	38999.8		
O00541	O00541		PES1		49478.6	50255.9	53164.3	50379.3	46204.2	49829.9	48080.3	51978.8	49477.8	49877.6	48179.4	45715.5	47178.6	45403.4	46188.8	46860.9	45327.6	42178.7	46622.7	45792.7	44702.4	44148.3	46158.9	46473.7		
O00567	O00567		NOP56		168886	157583	165497	161498	150013	146895	161656	124256	165600	121359	126526	128397	138766	141889	156703	141942	154866	132856	158527	153446	120924	126708	136137	127215		
O00571	O00571		DDX3X		165660	158575	158682	166422	165096	168363	169182	174513	166686	179471	177275	173656	177103	170117	174009	168878	180972	168533	168352	171951	162830	159915	163143	166269		
O00592	O00592		PODXL		112285	109847	110726	110442	118207	108098	116286	90986.4	112337	90328.2	95739.8	88476.1	140716	129249	133339	128236	130069	128666	139586	137839	124034	116879	107791	128586		
O00764	O00764		PDXK		22524.2	26227.5	17533.1	18154.1	20482.6	21526.9	26605.6	20192.9	24603.8	20667.2	20590	17665.2	20153.4	16139.1	17712	16404.8	18639.3	16489.1	16340.6	14700.1	12658.9	14729.1	11364.3	11313.2		
O14556	O14556		GAPDHS		286913	302827	278306	280118	289491	285905	314645	264756	309541	250282	246088	227433	195456	277551	168084	270656	199104	176290	269296	200016	256891	240599	248044	265542		
